domain,icon_file,example_url
10015.io,10015.io.png,https://10015.io/
21st.dev,21st.dev.png,https://21st.dev/
3dsvg.design,3dsvg.design.png,https://3dsvg.design/
academy.openai.com,academy.openai.com.png,https://academy.openai.com
agoodmovietowatch.com,agoodmovietowatch.com.png,https://agoodmovietowatch.com/
ai-sites.net,ai-sites.net.png,https://ai-sites.net/
ai.meta.com,ai.meta.com.jpg,https://ai.meta.com/resources/
aikosh.indiaai.gov.in,aikosh.indiaai.gov.in.png,https://aikosh.indiaai.gov.in/home
aitmpl.com,aitmpl.com.png,https://aitmpl.com/
alibaba.github.io,MISSING,https://alibaba.github.io/page-agent/
allsitehub.site,allsitehub.site.jpg,https://allsitehub.site/
alphacephei.com,alphacephei.com.png,https://alphacephei.com/vosk/models
alternativeto.net,alternativeto.net.png,https://alternativeto.net/
amicro-ui.vercel.app,MISSING,https://amicro-ui.vercel.app/
amicro.vercel.app,amicro.vercel.app.jpg,https://amicro.vercel.app/
animata.design,animata.design.png,https://animata.design/
animate-ui.com,animate-ui.com.png,https://animate-ui.com/
animejs.com,animejs.com.png,https://animejs.com/
ant.design,MISSING,https://ant.design/
anthropic.skilljar.com,anthropic.skilljar.com.png,https://anthropic.skilljar.com
anythingllm.com,anythingllm.com.png,https://anythingllm.com/
app.reve.com,app.reve.com.png,https://app.reve.com/
archive.org,archive.org.png,http://archive.org
artflo.ai,artflo.ai.png,https://artflo.ai
aside.com,aside.com.png,https://aside.com/
atomicagent.io,atomicagent.io.png,https://atomicagent.io/
autoclaw.z.ai,MISSING,https://autoclaw.z.ai/
autoglm.zhipuai.cn,autoglm.zhipuai.cn.png,https://autoglm.zhipuai.cn/autoclaw/
awesomedataworld.slack.com,awesomedataworld.slack.com.png,https://awesomedataworld.slack.com/
barba.js.org,barba.js.org.png,https://barba.js.org/
basecn.dev,basecn.dev.png,https://basecn.dev/
beautifului.dev,beautifului.dev.png,https://beautifului.dev/
bestfreeaiwebsites.com,MISSING,https://bestfreeaiwebsites.com/
beui.dev,beui.dev.png,https://beui.dev/
boneyard.vercel.app,boneyard.vercel.app.png,https://boneyard.vercel.app/overview
botdirectory.ai,botdirectory.ai.jpg,https://botdirectory.ai/
brevio.pro,MISSING,https://brevio.pro/
build.nvidia.com,build.nvidia.com.png,https://build.nvidia.com/nvidia/cosmos3-nano
buildcool.sh,buildcool.sh.png,http://buildcool.sh/
bytez.com,bytez.com.png,https://bytez.com/api/pricing
cachyos.org,cachyos.org.jpg,https://cachyos.org/
carbon.now.sh,carbon.now.sh.png,https://carbon.now.sh/
casebook-phi.vercel.app,MISSING,https://casebook-phi.vercel.app/
cdn.jsdelivr.net,cdn.jsdelivr.net.png,https://cdn.jsdelivr.net/npm/@tesseract.js-data/
chakra-ui.com,chakra-ui.com.png,https://chakra-ui.com/
chat-animate.com,chat-animate.com.png,https://chat-animate.com/
chat.mistral.ai,chat.mistral.ai.png,https://chat.mistral.ai/
chat.poolside.ai,chat.poolside.ai.png,https://chat.poolside.ai/
chatgptfree.ai,chatgptfree.ai.png,https://chatgptfree.ai/
chatto.run,chatto.run.png,https://chatto.run/
cheatography.com,cheatography.com.png,https://cheatography.com/
chutes.ai,chutes.ai.png,https://chutes.ai/
cineplayapk.com,cineplayapk.com.png,https://cineplayapk.com/
claude.com,claude.com.png,https://claude.com/blog/using-llms-to-secure-source-code
cleanup.pictures,cleanup.pictures.png,https://cleanup.pictures/
coddy.tech,coddy.tech.png,https://coddy.tech/
code2tutorial.com,MISSING,https://code2tutorial.com/
console.groq.com,console.groq.com.png,https://console.groq.com/
coolify.io,coolify.io.png,https://coolify.io/
curvet.ai,curvet.ai.png,https://curvet.ai/
cvoice.ai,cvoice.ai.png,https://cvoice.ai/
daily.dev,daily.dev.png,https://daily.dev/
daisyui.com,daisyui.com.png,https://daisyui.com/
deepai.org,deepai.org.png,https://deepai.org/
deeplearning.ai,deeplearning.ai.png,https://deeplearning.ai
deeplivecam.net,deeplivecam.net.png,https://deeplivecam.net/
deepwebnest.com,deepwebnest.com.png,https://deepwebnest.com/
deepwiki.com,deepwiki.com.png,https://deepwiki.com/
delphi.tools,delphi.tools.jpg,https://delphi.tools/
designlang.manavaryasingh.com,MISSING,https://designlang.manavaryasingh.com/
developer.nvidia.com,developer.nvidia.com.png,https://developer.nvidia.com/cuda
developers.cloudflare.com,developers.cloudflare.com.png,https://developers.cloudflare.com/d1/
devurls.com,devurls.com.png,https://devurls.com/
dfir.blog,dfir.blog.png,https://dfir.blog/unfurl/
digen.ai,digen.ai.png,https://digen.ai/en/explore
directorytg.com,MISSING,https://directorytg.com/
discourse.joplinapp.org,discourse.joplinapp.org.png,https://discourse.joplinapp.org/
docs.crawl4ai.com,docs.crawl4ai.com.png,https://docs.crawl4ai.com/
